id,created_at,severity,event_type,message,source,actor_principal,actor_username,board_id
32443,2026-05-21T13:38:31.464577+00:00,ERR,general,TCP 192.168.1.102:5000: No se pudo establecer conexiÃ³n TCP,system,system,,2
32442,2026-05-21T10:16:28.692123+00:00,ERR,general,"TCP Modbus no operativo (slave_id=4): Modbus Error: [Input/Output] No response received after 0 retries, continue with next request",system,system,,2
32441,2026-05-21T10:16:24.679973+00:00,OK,general,TCP conectado a 192.168.1.102:5000 (slave_id=4),system,system,,2
32440,2026-05-21T10:16:20.476325+00:00,ERR,general,"TCP Modbus no operativo (slave_id=1): Modbus Error: [Input/Output] No response received after 0 retries, continue with next request",system,system,,1
32439,2026-05-21T10:16:16.463485+00:00,OK,general,TCP conectado a 192.168.1.101:5000 (slave_id=1),system,system,,1
32438,2026-05-21T10:16:10.035879+00:00,ERR,general,"TCP Modbus no operativo (slave_id=3): Modbus Error: [Input/Output] No response received after 0 retries, continue with next request",system,system,,3
32437,2026-05-21T10:16:06.016585+00:00,OK,general,TCP conectado a 192.168.1.103:5000 (slave_id=3),system,system,,3
32436,2026-05-21T10:12:58.019861+00:00,OK,general,"Desacople IN/OUT aplicado: holding 0x00FA (250)=0, slave_id=4",panel_ui,panel,ceroideas,2
32435,2026-05-21T10:12:56.821146+00:00,OK,general,TCP conectado a 192.168.1.102:5000 (slave_id=4),panel_ui,panel,ceroideas,2
32434,2026-05-21T10:12:54.391226+00:00,OK,general,"Desacople IN/OUT aplicado: holding 0x00FA (250)=0, slave_id=1",panel_ui,panel,ceroideas,1
32433,2026-05-21T10:12:53.934510+00:00,OK,general,TCP conectado a 192.168.1.101:5000 (slave_id=1),panel_ui,panel,ceroideas,1
